GeneName	Prime3	Prime5
g258	1571	10711
g259	10711	149
g260	149	3437
g261	3437	3082
g262	3082	531
g263	531	1513
g264	1513	10542
g265	10542	1795
g266	1795	3149
g267	3149	14251
g268	14251	5011
g269	5011	4335
g270	4335	560
g271	560	8242
g272	8242	3912
g273	3912	4912
g274	4912	5872
g275	5872	5453
g276	5453	3484
g277	3484	1692
g278	1692	1239
g279	1239	1115
g280	1115	707
g281	707	992
g282	992	209
g283	209	2378
g284	2378	4559
g285	4559	2647
g286	2647	2021
g287	2021	2489
g288	2489	491
g289	491	433
g290	433	12380
g291	12380	2374
g292	2374	1449
g293	1449	1146
g294	1146	772
g295	772	3310
g296	3310	1545
g297	1545	3169
g298	3169	3304
g299	3304	47
g300	47	29
g301	29	3738
g302	3738	1827
g303	1827	4817
g304	4817	19
g305	19	417
g306	417	1169
g307	1169	3367
g308	3367	3333
g309	3333	657
g310	657	321
g311	321	823
g312	823	5591
g313	5591	2618
g314	2618	2670
g315	2670	5297
g316	5297	2117
g317	2117	2296
g318	2296	1102
g319	1102	5950
g320	5950	1113
g321	1113	388
g322	388	659
g323	659	2263
g324	2263	921
g325	921	3502
g326	3502	712
g327	712	2510
g328	2510	1693
g329	1693	528
g330	528	1660
g331	1660	675
g332	675	2354
g333	2354	1362
g334	1362	5791
g335	5791	1742
g336	1742	2743
g337	2743	350
g338	350	2803
g339	2803	3413
g340	3413	3211
g341	3211	3688
g342	3688	3532
g343	3532	1340
g344	1340	1746
g345	1746	3300
g346	3300	1783
g347	1783	3308
g348	3308	8770
g349	8770	4726
g350	4726	195
g351	195	1095
g352	1095	643
g353	643	472
g354	472	80
g355	80	6267
g356	6267	3200
g357	3200	2783
g358	2783	7110
g359	7110	4042
g360	4042	1175
g361	1175	509
g362	509	1865
g363	1865	1903
g364	1903	2115
g365	2115	1896
g366	1896	2328
g367	2328	6477
g368	6477	1276
g369	1276	853
g370	853	28033
g371	28033	178
g372	178	465
g373	465	198
g374	198	63
g375	63	17759
g376	17759	1623
g377	1623	7196
g378	7196	763
g379	763	2292
g380	2292	3566
g381	3566	1163
g382	1163	1614
g383	1614	1156
g384	1156	2812
g385	2812	2918
g386	2918	2047
g387	2047	1182
g388	1182	2432
g389	2432	4529
g390	4529	1676
g391	1676	680
g392	680	1899
g393	1899	4188
g394	4188	1149
g395	1149	564
g396	564	2488
g397	2488	2265
g398	2265	2662
g399	2662	4212
g400	5257	10393
g401	4212	1780
g402	1780	2952
g403	2952	1846
g404	1846	4728
g405	4728	3245
g406	3245	447
g407	447	2021
g408	2021	1741
g409	1741	3370
g410	3370	670
g411	670	324
g412	324	1223
g413	1223	1062
g414	1062	2426
g415	2426	3256
g416	3256	4670
g417	4670	633
g418	633	1230
g419	1230	749
g420	749	344
g421	344	317
g422	317	5573
g423	5573	1837
g424	1837	1929
g425	1929	1309
g426	1309	1099
g427	1099	577
g428	577	1442
g429	1442	147
g430	147	3778
g431	3778	1475
g432	1475	1250
g433	1250	1996
g434	1996	1647
g435	1647	1540
g436	1540	2922
g437	2922	476
g438	476	2298
g439	2298	1803
g440	1803	229
g441	229	2413
g442	2413	1842
g443	1842	2957
g444	2957	3398
g445	3398	845
g446	845	884
g447	884	5458
g448	5458	1520
g449	1520	11957
g450	11957	1419
g451	1419	1196
g452	1196	906
g453	906	163
g454	163	1768
g455	1768	1878
g456	1878	3123
g457	3123	531
g458	531	1884
g459	1884	3607
g460	3607	261
g461	261	531
g462	531	3337
g463	3337	793
g464	793	1761
g465	1761	554
g466	554	917
g467	917	1378
g468	1378	1829
g469	1829	13523
g470	13523	511
g471	511	4230
g472	4230	19095
g473	19095	7752
g474	7752	2383
g475	2383	6952
g476	6952	793
g477	793	2102
g478	2102	2346
g479	2346	4145
g480	4145	999
g481	999	884
g482	884	2599
g483	2599	945
g484	945	479
g485	479	562
g486	562	2298
g487	2298	20
g488	20	704
g489	704	1698
g490	1698	4774
g491	4774	2875
g492	2875	443
g493	443	2428
g494	2428	1736
g495	1736	988
g496	988	2765
g497	2765	1312
g498	1312	1890
g499	1890	352
g500	352	3949
g501	3949	3726
g502	3726	1112
g503	1112	200
g504	200	858
g505	858	26889
g506	26889	891
g507	891	886
g508	886	1276
g509	1276	773
g510	773	2046
g511	2046	1367
g512	1367	1066
g513	1066	741
g514	741	1328
g515	1328	9462
g516	9462	1908
g517	1908	1036
g518	2379	894
g519	894	3401
g520	3401	238
g521	238	1573
g522	1573	3398
g523	3398	1024
g524	1024	303
g525	303	56
g526	56	2000
g527	2000	3298
g528	3298	141
g529	141	13935
g530	13935	1819
g531	1819	4403
g532	4403	4826
g533	4826	2529
g534	2529	54
g535	54	2529
g536	2529	2804
g537	2804	525
g538	525	5039
g539	5039	2463
g540	2463	2461
g541	2461	1155
g542	1155	581
g543	581	15972
g544	15972	300
g545	300	892
g546	892	1005
g547	1005	1210
g548	1210	1727
g549	1727	2384
g550	2384	1211
g551	1211	2282
g552	2282	621
g553	621	653
g554	653	7553
g555	7553	23
g556	23	4395
g557	4395	1544
g558	1544	2935
g559	2935	6723
g560	6723	1226
g561	1226	2097
g562	2097	9831
g563	9831	29
g564	29	1152
g565	1152	785
g566	785	1941
g567	1941	94
g568	94	94
g569	94	5958
g570	5958	1191
g571	1191	3578
g572	3578	1120
g573	1120	4716
g574	4716	1800
g575	1800	1268
g576	1268	3725
g577	3725	215
g578	215	783
g579	783	812
g580	812	140
g581	140	1222
g582	1222	558
g583	558	280
g584	280	246
g585	246	1111
g586	1111	20
g587	20	280
g588	138	4426
g589	280	214
g590	214	160
g591	160	61
g592	61	1771
g593	1771	36
g594	36	160
g595	160	379
g596	379	1773
g597	1773	36
g598	36	193
g599	193	1240
g600	1240	4023
g601	4023	4219
g602	4219	4915
g603	4915	1722
g604	1722	1186
g605	1186	1066
g606	1066	1541
g607	1541	3195
g608	3195	1082
g609	1082	2530
g610	2530	903
g611	903	2226
g612	2226	756
g613	756	3748
g614	3748	8913
g615	8913	446
g616	446	2221
g617	2221	770
g618	770	746
g619	746	2140
g620	2140	3430
g621	3430	44
g622	44	260
g623	260	238
g624	238	2077
g625	2077	464
g626	464	2717
g627	2717	829
g628	829	26
g629	26	145
g630	145	686
g631	686	2717
g632	2717	4757
g633	4757	2546
g634	2546	503
g635	503	1369
g636	1369	1637
g637	1637	907
g638	907	964
g639	964	1739
g640	1739	4087
g641	4087	4255
g642	4255	4879
g643	4879	1791
g644	1791	1663
g645	1663	8301
g646	8301	3488
g647	3488	3945
g648	3945	2559
g649	2559	908
g650	908	None
g651	None	7919
g652	7919	1455
g653	1455	1958
g654	1958	787
g655	787	1140
g656	1140	4398
g657	4398	6781
g658	6781	2938
g659	2938	2666
g660	2666	2955
g661	2955	7024
g662	7024	3233
g663	3233	1609
g664	1609	2642
g665	2642	3957
g666	3957	872
g667	872	4153
g668	4153	480
g669	480	1894
g670	1894	2597
g671	2597	3412
g672	3412	3324
g673	3324	3032
g674	3032	1356
g675	1356	14148
g676	14148	219
g677	219	2586
g678	2586	934
g679	934	1429
g680	1429	2959
g681	2959	1060
g682	1060	4889
g683	4889	40
g684	40	5477
g685	5477	3690
g686	3690	3199
g687	3199	2025
g688	2025	621
g689	621	1134
g690	1134	1119
g691	1119	753
g692	753	55
g693	55	1342
g694	1342	597
g695	597	6567
g696	6567	142
g697	142	3302
g698	3302	3214
g699	3214	1820
g700	1820	1853
g701	1853	645
g702	645	2025
g703	2025	4139
g704	4139	1169
g705	1169	2098
g706	2098	1603
g707	1603	1797
g708	1797	420
g709	420	807
g710	807	2806
g711	2806	1986
g712	1986	208
g713	208	2447
g714	2447	2996
g715	2996	619
g716	619	643
g717	643	3100
g718	3100	2050
g719	2050	658
g720	658	979
g721	979	3306
g722	3306	225
g723	225	1586
g724	1586	810
g725	810	2114
g726	2114	1659
g727	1659	3809
g728	3809	496
g729	496	1573
g730	1573	6823
g731	6823	271
g732	271	1143
g733	1143	112
g734	112	5055
g735	5055	662
g736	662	557
g737	557	2352
g738	2352	1577
g739	1577	832
g740	832	2453
g741	2453	3462
g742	3462	1540
g743	1540	688
g744	688	415
g745	415	1982
g746	1982	494
g747	494	566
g748	566	1591
g749	1591	2283
g750	2283	225
g751	225	631
g752	631	1149
g753	1149	1356
g754	1356	2231
g755	2231	152
g756	152	1424
g757	1424	428
g758	428	721
g759	721	571
g760	571	1355
g761	1355	1020
g762	1020	1323
g763	1323	2913
g764	2913	991
g765	991	3067
g766	3067	3235
g767	3235	1296
g768	1296	320
g769	320	1830
g770	1830	2770
g771	2770	65
g772	65	2689
g773	2689	2304
g774	2304	1278
g775	1278	8381
g776	8381	1775
g777	1775	1533
g778	1533	361
g779	361	169
g780	169	3178
g781	3178	629
g782	629	1318
g783	1318	1038
g784	1038	8167
g785	8167	14303
g786	14303	1484
g787	1484	433
g788	433	1807
g789	1807	982
g790	982	3794
g791	3794	262
g792	262	698
g793	698	338
g794	338	193
g795	193	528
g796	528	132
g797	132	2054
g798	2054	2319
g799	2319	2275
g800	2275	4510
g801	4510	2437
g802	2437	3272
g803	3272	2229
g804	2229	893
g805	893	546
g806	546	686
g807	686	2966
g808	2966	1380
g809	1380	3592
g810	3592	79
g811	79	1196
g812	1196	20
g813	20	2423
g814	2423	540
g815	540	3709
g816	3709	916
g817	7004	705
g818	705	31
g819	31	929
g820	929	783
g821	783	610
g822	610	263
g823	263	4805
g824	4805	45
g825	45	2931
g826	2931	1317
g827	1317	200
g828	200	1030
g829	1030	257
g830	257	419
g831	419	293
g832	293	161
g833	161	708
g834	708	193
g835	193	794
g836	794	849
g837	849	551
g838	551	1793
g839	1793	1223
g840	1223	2890
g841	2890	416
g842	416	1897
g843	1897	1318
g844	1318	6874
g845	6874	182
g846	182	2998
g847	2998	1769
g848	1769	271
g849	271	159
g850	159	1076
g851	1076	4601
g852	4601	327
g853	327	74
g854	74	3090
g855	3090	792
g856	792	581
g857	581	5443
g858	5443	437
g859	437	4482
g860	4482	1126
g861	1126	719
g862	719	344
g863	344	1369
g864	1369	794
g865	794	407
g866	407	477
g867	477	41
g868	41	2016
g869	2016	4589
g870	4589	284
g871	284	644
g872	644	849
g873	849	1700
g874	1700	289
g875	289	400
g876	400	1163
g877	1163	1288
g878	1288	412
g879	412	308
g880	308	138
g881	138	367
g882	367	437
g883	437	1000
g884	1000	559
g885	559	945
g886	945	779
g887	779	2505
g888	2505	2500
g889	2500	1464
g890	1464	2971
g891	2971	494
g892	494	1312
g893	1312	293
g894	6497	35
g895	35	660
g896	660	551
g897	551	78
g898	78	47
g899	47	249
g900	249	1702
g901	1702	78
g902	78	3318
g903	3318	7404
g904	7404	4057
g905	4057	373
g906	373	249
g907	249	1971
g908	1971	230
g909	230	226
g910	226	576
g911	576	335
g912	335	703
g913	703	1557
g914	1557	692
g915	692	788
g916	788	166
g917	166	2784
g918	2784	5070
g919	5070	1364
g920	1364	288
g921	288	993
g922	993	300
g923	300	401
g924	401	2115
g925	2115	884
g926	884	298
g927	298	830
g928	830	285
g929	285	1150
g930	1150	958
g931	958	373
g932	373	1191
g933	1191	811
g934	811	33
g935	33	883
g936	883	2154
g937	2154	322
g938	322	94
g939	94	2590
g940	2590	76
g941	76	125
g942	125	494
g943	494	147
g944	147	574
g945	574	946
g946	946	124
g947	124	1300
g948	1300	1394
g949	1394	140
g950	140	498
g951	498	692
g952	692	576
g953	576	365
g954	365	554
g955	554	954
g956	954	174
g957	174	843
g958	843	928
g959	928	292
g960	292	26
g961	26	320
g962	320	105
g963	105	2026
g964	2026	1571
g965	1571	167
g966	167	174
g967	174	300
g968	300	694
g969	694	2296
g970	2296	743
g971	743	1976
g972	1976	586
g973	586	682
g974	682	280
g975	280	353
g976	353	1039
g977	1039	202
g978	202	163
g979	163	227
g980	227	575
g981	575	358
g982	358	347
g983	347	289
g984	289	777
g985	777	2354
g986	2354	380
g987	380	241
g988	241	4279
g989	315	4326
g990	4279	1331
g991	1331	None
g992	None	12237
g993	12237	107603
g994	107603	30464
g995	30464	93585
g996	93585	90419
g997	90419	62452
g998	62452	88
g999	88	220
g1000	220	12
g1001	12	396
g1002	396	709
g1003	709	838
g1004	838	80721
g1005	80721	84098
g1006	84098	33
g1007	33	None
g1008	None	3678
g1009	3678	873
g1010	873	436
g1011	436	936
g1012	936	410
g1013	410	272
g1014	272	1634
g1015	1634	219
g1016	219	691
g1017	691	3162
g1018	3162	541
g1019	541	715
g1020	715	1276
g1021	1276	2294
g1022	2294	272
g1023	272	97
g1024	97	293
g1025	293	323
g1026	323	23
g1027	23	2202
g1028	2202	68
g1029	68	3783
g1030	3783	572
g1031	572	420
g1032	420	622
g1033	622	2867
g1034	2867	118
g1035	118	58
g1036	58	124
g1037	124	350
g1038	350	227
g1039	227	126
g1040	126	414
g1041	414	75
g1042	75	1026
g1043	1026	392
g1044	392	94
g1045	94	365
g1046	365	1353
g1047	1353	1189
g1048	1189	459
g1049	459	171
g1050	171	708
g1051	708	62
g1052	62	69
g1053	69	217
g1054	217	2631
g1055	2631	3011
g1056	3011	63
g1057	63	3715
g1058	3715	585
g1059	585	650
g1060	650	6152
g1061	6152	318
g1062	318	2975
g1063	2975	103
g1064	103	635
g1065	635	658
g1066	658	116
g1067	116	997
g1068	997	474
g1069	474	1939
g1070	1939	810
g1071	810	374
g1072	374	1471
g1073	1471	672
g1074	672	356
g1075	356	386
g1076	386	279
g1077	279	294
g1078	294	705
g1079	705	174
g1080	174	647
g1081	647	421
g1082	421	196
g1083	196	454
g1084	454	4092
g1085	4092	788
g1086	788	143
g1087	143	3277
g1088	3277	206
g1089	206	648
g1090	648	174
g1091	174	568
g1092	568	307
g1093	307	756
g1094	756	191
g1095	191	272
g1096	272	175
g1097	175	147
g1098	147	170
g1099	170	506
g1100	506	469
g1101	469	369
g1102	369	165
g1103	165	437
g1104	437	902
g1105	902	1086
g1106	1086	529
g1107	529	130
g1108	130	243
g1109	243	886
g1110	886	706
g1111	706	223
g1112	223	1335
g1113	1335	473
g1114	473	204
g1115	204	3
g1116	3	184
g1117	184	487
g1118	487	3283
g1119	3283	625
g1120	625	501
g1121	501	122
g1122	122	1390
g1123	1390	636
g1124	636	174
g1125	174	652
g1126	652	132
g1127	132	144
g1128	144	243
g1129	243	930
g1130	930	547
g1131	547	460
g1132	460	5771
g1133	5771	362
g1134	362	281
g1135	281	864
g1136	864	134
g1137	134	421
g1138	421	226
g1139	226	108
g1140	108	387
g1141	387	48
g1142	48	1627
g1143	1627	4277
g1144	4277	1441
g1145	1441	1766
g1146	1766	2256
g1147	2256	373
g1148	373	1365
g1149	1365	632
g1150	632	314
g1151	314	1797
g1152	1797	1512
g1153	1512	491
g1154	491	214
g1155	214	605
g1156	605	454
g1157	454	478
g1158	478	212
g1159	212	30
g1160	30	3008
g1161	3008	105
g1162	105	533
g1163	533	606
g1164	606	780
g1165	780	320
g1166	320	2011
g1167	2011	993
g1168	993	4263
g1169	4263	622
g1170	622	41
g1171	41	1501
g1172	1501	168
g1173	168	3149
g1174	3149	200
g1175	200	281
g1176	281	182
g1177	182	378
g1178	378	239
g1179	239	838
g1180	838	260
g1181	260	1091
g1182	1091	1016
g1183	1016	851
g1184	851	586
g1185	586	707
g1186	707	206
g1187	206	38
g1188	38	1163
g1189	1163	300
g1190	300	282
g1191	282	289
g1192	289	1044
g1193	1044	1289
g1194	1289	210
g1195	210	800
g1196	800	227
g1197	227	717
g1198	717	237
g1199	237	785
g1200	785	332
g1201	332	22
g1202	22	895
g1203	895	281
g1204	281	913
g1205	913	238
g1206	238	67
g1207	67	1438
g1208	1438	182
g1209	182	841
g1210	841	509
g1211	509	732
g1212	732	300
g1213	300	795
g1214	795	1456
g1215	1456	59
g1216	59	650
g1217	650	1466
g1218	1466	292
g1219	292	383
g1220	383	407
g1221	407	162
g1222	162	603
g1223	603	333
g1224	333	366
g1225	366	658
g1226	658	196
g1227	196	422
g1228	422	944
g1229	944	333
g1230	333	739
g1231	739	95
g1232	95	670
g1233	670	894
g1234	894	1266
g1235	1266	882
g1236	882	3283
g1237	3283	764
g1238	764	292
g1239	292	1373
g1240	1373	84
g1241	84	481
g1242	481	1109
g1243	1109	410
g1244	410	445
g1245	445	657
g1246	657	346
g1247	346	441
g1248	441	282
g1249	282	635
g1250	635	485
g1251	485	615
g1252	615	463
g1253	463	1425
g1254	1425	962
g1255	962	478
g1256	478	1536
g1257	1536	2405
g1258	2405	51
g1259	51	438
g1260	438	2159
g1261	2159	484
g1262	484	6002
g1263	6002	689
g1264	689	1182
g1265	1182	531
g1266	531	980
g1267	980	197
g1268	197	549
g1269	549	297
g1270	297	2024
g1271	2024	104
g1272	104	243
g1273	243	668
g1274	668	660
g1275	660	286
g1276	286	502
g1277	502	718
g1278	718	618
g1279	618	299
g1280	299	1260
g1281	1260	229
g1282	229	51
g1283	51	204
g1284	204	969
g1285	969	1090
g1286	1090	36
g1287	36	1628
g1288	1628	1301
g1289	1301	1010
g1290	1010	290
g1291	290	1942
g1292	1942	936
g1293	936	797
g1294	797	1081
g1295	1081	1235
g1296	1235	546
g1297	546	524
g1298	524	1741
g1299	1741	223
g1300	223	1068
g1301	1068	223
g1302	223	766
g1303	766	3316
g1304	3316	262
g1305	262	59
g1306	59	123
g1307	123	4648
g1308	4648	1265
g1309	1265	475
g1310	475	1176
g1311	1176	1986
g1312	1986	190
g1313	190	1002
g1314	1002	3029
g1315	3029	7852
g1316	7852	540
g1317	9342	7577
g1318	540	706
g1319	706	2079
g1320	2079	733
g1321	733	1890
g1322	1890	354
g1323	354	114
g1324	114	126
g1325	126	1224
g1326	1224	1545
g1327	1545	658
g1328	658	3590
g1329	3590	942
g1330	942	8477
g1331	8477	1711
g1332	1711	2522
g1333	2522	715
g1334	715	101
g1335	101	532
g1336	532	655
g1337	655	296
g1338	296	1782
g1339	1782	416
g1340	416	2714
g1341	2714	870
g1342	870	1678
g1343	1678	554
g1344	554	417
g1345	417	1262
g1346	1262	1436
g1347	1436	2216
g1348	2216	9
g1349	9	3546
g1350	3546	36
g1351	36	1221
g1352	1221	274
g1353	274	140
g1354	140	858
g1355	858	274
g1356	274	1204
g1357	1204	278
g1358	278	1869
g1359	1869	2925
g1360	2925	318
g1361	318	3796
g1362	3796	5237
g1363	5237	419
g1364	419	2238
g1365	2238	493
g1366	493	1690
g1367	1690	2383
g1368	2383	2384
g1369	2384	2345
g1370	2345	2386
g1371	2386	502
g1372	502	4365
g1373	4365	1068
g1374	1068	2474
g1375	2474	1636
g1376	1636	222
g1377	222	1688
g1378	1688	759
g1379	759	179
g1380	179	1873
g1381	1873	202
g1382	202	2675
g1383	2675	1506
g1384	6700	1021
g1385	1021	711
g1386	711	328
g1387	328	2179
g1388	2179	431
g1389	431	2783
g1390	2783	26
g1391	26	644
g1392	644	2485
g1393	2485	2288
g1394	2288	1526
g1395	1526	876
g1396	876	None
g1397	None	2971
g1398	2971	92
g1399	92	503
g1400	503	2128
g1401	2128	None
g1402	None	4418
g1403	4418	342
g1404	342	1152
g1405	1152	4222
g1406	4222	2305
g1407	2305	682
g1408	682	50
g1409	50	1034
g1410	1034	123
g1411	123	2940
g1412	2940	66
g1413	66	2995
g1414	2995	1565
g1415	1565	911
g1416	911	56
g1417	56	2739
g1418	2739	797
g1419	797	156
g1420	156	3054
g1421	3054	2104
g1422	2104	968
g1423	968	1898
g1424	1898	716
g1425	716	644
g1426	644	1966
g1427	1966	496
g1428	496	839
g1429	839	802
g1430	802	1982
g1431	1982	825
g1432	825	3925
g1433	3925	5452
g1434	5452	1215
g1435	1215	1406
g1436	1406	2395
g1437	2395	451
g1438	451	706
g1439	706	7018
g1440	7018	7776
g1441	7776	787
g1442	787	33447
g1443	33447	None
g1444	None	45
g1445	45	801
g1446	801	572
g1447	572	7253
g1448	7253	1800
g1449	1800	48
g1450	48	468
g1451	468	224
g1452	224	405
g1453	405	618
g1454	618	564
g1455	564	48
g1456	48	217
g1457	217	347
g1458	347	127
g1459	127	977
g1460	977	1717
g1461	1717	305
g1462	305	722
g1463	722	1680
g1464	1680	609
g1465	609	720
g1466	720	257
g1467	257	1525
g1468	1525	910
g1469	910	4508
g1470	4508	138
g1471	138	5892
g1472	5892	2066
g1473	2066	295
g1474	295	267
g1475	267	1887
g1476	1887	84
g1477	84	746
g1478	746	668
g1479	668	14938
g1480	14938	452
g1481	452	696
g1482	696	332
g1483	332	1405
g1484	1405	64
g1485	64	839
g1486	839	40
g1487	40	150
g1488	150	5515
g1489	5515	675
g1490	675	1182
g1491	1182	223
g1492	223	1225
g1493	1225	563
g1494	563	312
g1495	312	401
g1496	401	822
g1497	822	11619
g1498	11619	4146
g1499	4146	1200
g1500	1200	2032
g1501	2032	4848
g1502	4848	894
g1503	12199	8831
g1504	894	729
g1505	729	392
g1506	392	44
g1507	44	208
g1508	208	43
g1509	43	6232
g1510	6232	43
g1511	43	1043
g1512	1043	488
g1513	488	37
g1514	37	248
g1515	248	422
g1516	422	24
g1517	24	551
g1518	551	466
g1519	466	240
g1520	240	445
g1521	445	1306
g1522	1306	415
g1523	415	634
g1524	634	739
g1525	739	4243
g1526	4243	1648
g1527	1648	44
g1528	44	160
g1529	160	124
g1530	124	495
g1531	495	330
g1532	330	1204
g1533	1204	745
g1534	745	410
g1535	410	341
g1536	341	1602
g1537	1602	158
g1538	158	366
g1539	366	347
g1540	347	372
g1541	372	553
g1542	553	1100
g1543	1100	7614
g1544	7614	4582
g1545	4582	1375
g1546	1375	497
g1547	497	1022
g1548	1022	230
g1549	230	140
g1550	140	478
g1551	478	36
g1552	36	3428
g1553	3428	138
g1554	138	1646
g1555	1646	525
g1556	525	1982
g1557	1982	4040
g1558	4040	555
g1559	555	277
g1560	277	481
g1561	481	530
g1562	530	1635
g1563	1635	449
g1564	449	7097
g1565	7097	3981
g1566	3981	380
g1567	380	1531
g1568	1531	612
g1569	612	228
g1570	228	407
g1571	407	43
g1572	43	458
g1573	458	922
g1574	922	944
g1575	944	755
g1576	755	2327
g1577	2327	5878
g1578	5878	552
g1579	552	561
g1580	561	1069
g1581	1069	809
g1582	809	334
g1583	334	360
g1584	360	1260
g1585	1260	424
g1586	424	312
g1587	312	513
g1588	513	237
g1589	237	148
g1590	148	587
g1591	587	1029
g1592	1029	178
g1593	178	643
g1594	643	384
g1595	384	328
g1596	328	147
g1597	147	256
g1598	256	1243
g1599	1243	80
g1600	80	5626
g1601	5626	544
g1602	544	480
g1603	480	299
g1604	299	974
g1605	974	923
g1606	923	340
g1607	340	361
g1608	361	873
g1609	873	977
g1610	977	4550
g1611	4550	689
g1612	689	229
g1613	229	977
g1614	977	1119
g1615	1119	4469
g1616	4469	739
g1617	739	1048
g1618	1048	210
g1619	210	148
g1620	148	222
g1621	222	149
g1622	149	624
g1623	624	155
g1624	155	175
g1625	175	448
g1626	448	838
g1627	838	296
g1628	296	502
g1629	502	2011
g1630	2011	334
g1631	334	815
g1632	815	959
g1633	959	1600
g1634	1600	162
g1635	162	632
g1636	632	1010
g1637	1010	472
g1638	472	923
g1639	923	249
g1640	249	285
g1641	285	1543
g1642	1543	676
g1643	676	574
g1644	574	849
g1645	849	364
g1646	364	87
g1647	87	337
g1648	337	1183
g1649	1183	102
g1650	102	175
g1651	175	410
g1652	410	634
g1653	634	235
g1654	235	402
g1655	402	27
g1656	27	108
g1657	108	39
g1658	39	167
g1659	167	99
g1660	99	436
g1661	436	2404
g1662	2404	170
g1663	170	279
g1664	279	766
g1665	766	498
g1666	498	275
g1667	275	154
g1668	154	369
g1669	369	336
g1670	336	82
g1671	82	65
g1672	65	81
g1673	81	32
g1674	32	58
g1675	58	120
g1676	120	686
